name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Jacundá;PA;7643;9978;11287;13890;14247;15430;14556;17511;18714;19683;24949;26332;31150;35080;35863;33582;35371
Juruti;PA;2119;2536;2063;2461;4751;22855;56327;65314;24611;23704;22204;29924;30793;34810;40409;40211;47006
Limoeiro do Ajuru;PA;871;728;711;706;882;1086;1381;1331;2181;2566;2860;3246;3654;5336;5105;4898;3934
Mãe do Rio;PA;2190;3949;4162;5289;5974;8953;10613;11045;12598;13039;16885;21264;24299;25785;22465;21984;20314
Magalhães Barata;PA;244;375;342;436;405;383;525;625;760;808;856;942;979;1365;1684;2028;1701
Marabá;PA;113109;165355;191849;270035;331819;409459;506210;484422;574718;602562;713014;769992;829431;808487;825590;827948;919362
Maracanã;PA;722;1324;2002;1998;1546;1783;1988;2286;2712;2921;2498;3235;4459;4550;4766;5567;5940
Marapanim;PA;1000;1324;1352;1540;1598;1860;2038;2538;2573;2973;3783;3334;5330;6430;6312;6337;6379
Marituba;PA;21919;25104;31162;35093;36505;54661;64344;68008;87253;101273;112700;151340;181733;219910;235116;255532;250308
Medicilândia;PA;2444;2891;2656;3021;4205;3909;3917;8080;2226;3890;4198;8253;11484;20911;20437;21301;21755
Melgaço;PA;587;705;564;632;720;735;732;856;1405;1458;2133;2493;2736;3005;3447;3388;3390
Mocajuba;PA;1088;1507;1604;1776;1889;2185;2339;2598;3284;3622;4944;5605;6164;8209;9180;9428;10678
Moju;PA;6085;6648;9835;10247;12629;14969;17410;18007;21705;31413;47188;44817;42654;47910;51999;54208;71381
Mojuí dos Campos;PA;...;...;...;...;...;...;...;...;...;...;...;2392;3530;3847;4183;5101;6372
Monte Alegre;PA;4478;5858;6539;7190;8975;9453;11225;11097;11491;12384;11187;16213;20543;23446;25015;25801;26763
Muaná;PA;925;1019;982;1279;1942;1520;1574;1612;2328;3040;3457;4277;3595;4976;5809;5348;5708
Nova Esperança do Piriá;PA;543;648;715;869;932;1391;1331;1535;1972;2645;2758;3270;4019;5435;6433;6427;6551
